,Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB,Win%
952,2023_Saint_Mary_s,WCC,35,27,112.144,90.56,0.92131,52.089,47.135,16.462,5.0,32.0,19.2106,32.655,21.92,32.0157,29.9143,50.815,45.722,36.168,33.3129,36.8199,32.031,61.9359,3.423,0.7714285714285715
953,2023_San_Diego_St_,MWC,39,32,110.861,89.54,0.920511,49.3236,46.52,17.3104,5.0,2.0,19.1112,31.68,26.168,33.2112,30.2153,48.4256,49.3139,34.0173,28.33,33.9281,40.0278,65.7264,5.71,0.8205128205128205
954,2023_Marquette,BE,36,29,118.78,96.041,0.919712,56.07,51.0202,15.326,2.0,32.0,22.518,26.2249,31.731,27.0317,29.1122,58.24,50.3182,35.31,34.723,42.061,37.5189,68.4122,7.86,0.8055555555555556
955,2023_Creighton,BE,37,24,115.021,93.215,0.917713,54.226,47.135,16.668,6.0,8.0,13.9359,25.3275,23.513,28.4272,19.72,55.117,45.722,35.498,33.6145,41.766,29.58,67.7153,2.229,0.6486486486486487
956,2023_Kansas,B12,36,28,113.831,92.313,0.917714,52.667,47.031,17.5124,1.0,32.0,20.266,28.7176,28.7191,29.8227,31.1181,53.065,47.253,34.7137,31.028,33.8284,35.3118,69.083,10.12,0.7777777777777778
957,2023_Duke,ACC,36,27,113.333,92.914,0.907215,51.1146,46.015,18.3192,5.0,32.0,16.5278,35.98,26.168,29.9224,23.713,51.511,46.229,33.5193,30.52,35.325,35.6128,64.9298,4.516,0.75
958,2023_Memphis,Amer,35,26,115.42,95.03,0.903016,53.052,46.724,18.3192,8.0,64.0,20.85,31.294,32.733,35.465,34.4261,53.16,47.149,35.31,30.825,29.1341,42.9333,71.024,4.715,0.7428571428571429
959,2023_Baylor,B12,34,23,121.72,100.6102,0.899217,53.248,51.6239,17.9154,3.0,32.0,19.975,34.421,30.9293,36.846,31.3187,51.6108,53.3315,36.834,32.588,44.922,37.9203,66.9187,5.212,0.6764705882352942
960,2023_West_Virginia,B12,34,19,117.214,97.555,0.893518,51.5117,50.9197,18.5213,9.0,64.0,20.947,34.025,29.3221,39.421,38.7322,50.9145,50.8207,35.0117,34.0176,36.3217,35.1108,68.4121,1.535,0.5588235294117647
961,2023_Arkansas,SEC,36,22,111.945,93.316,0.889419,50.9158,47.24,18.1169,8.0,16.0,20.556,30.81,27.9149,39.323,39.5333,52.575,47.458,31.3317,31.132,27.7348,30.516,69.558,0.3846,0.6111111111111112
962,2023_Xavier,BE,37,27,118.09,98.574,0.88912,55.213,50.3161,17.299,3.0,16.0,16.2296,30.81,25.041,31.4177,27.062,53.84,48.695,39.04,35.828,31.232,33.552,70.533,5.411,0.7297297297297297
963,2023_Auburn,SEC,34,21,113.134,94.928,0.882921,49.5223,45.713,17.7141,9.0,32.0,18.9119,32.849,32.4323,36.351,38.9327,50.7157,47.047,31.5307,28.86,35.2253,34.581,67.6157,1.14,0.6176470588235294
964,2023_Florida_Atlantic,CUSA,39,35,114.027,95.84,0.881522,54.324,46.116,16.983,9.0,4.0,17.7193,31.49,25.454,29.6234,26.347,53.84,44.712,36.642,32.483,43.935,34.79,67.5164,4.714,0.8974358974358975
965,2023_Texas_A_M,SEC,35,25,113.83,95.738,0.880823,48.8263,48.271,18.3192,7.0,64.0,20.947,36.75,30.4269,45.13,34.7268,48.824,47.253,32.6253,33.0109,34.5267,45.7351,66.0245,3.719,0.7142857142857143
966,2023_Kansas_St_,B12,36,26,112.639,94.727,0.880324,52.379,48.166,19.3258,3.0,8.0,21.041,29.9135,30.3264,36.154,36.3291,52.867,49.2129,34.3158,30.825,36.1224,36.9168,69.845,4.217,0.7222222222222222
967,2023_Michigan_St_,B10,34,21,114.424,96.445,0.877125,51.7104,48.684,16.462,7.0,16.0,14.8344,27.621,25.247,27.2312,28.092,48.2267,48.7101,39.33,32.483,33.0297,38.5222,64.6307,2.426,0.6176470588235294
968,2023_Kentucky,SEC,34,22,115.718,97.76,0.873826,50.6178,48.684,17.4119,6.0,32.0,16.6268,39.21,25.041,31.916,29.9143,50.0193,48.695,34.7137,32.483,30.033,35.5123,65.8258,1.632,0.6470588235294118
969,2023_Miami_FL,ACC,37,29,119.17,100.9109,0.871527,54.324,51.2213,16.147,5.0,4.0,18.1169,31.872,28.8195,30.7203,24.017,53.84,51.8254,36.834,33.5142,34.2275,38.5222,68.6104,3.72,0.7837837837837838
970,2023_TCU,B12,35,22,111.749,94.626,0.870528,50.0207,48.166,16.771,6.0,32.0,21.627,32.26,30.5274,34.194,30.1149,51.511,49.2129,31.0329,30.825,29.9331,35.0103,69.75,2.228,0.6285714285714286
971,2023_Iowa_St_,B12,33,19,107.0122,90.97,0.867929,49.921,49.9141,19.6274,6.0,64.0,25.02,33.927,26.583,27.9292,40.834,50.0193,49.2129,33.1215,33.715,33.8284,46.7355,64.0326,2.427,0.5757575757575758
972,2023_Utah_St_,MWC,35,26,115.419,98.065,0.86703,55.58,48.166,17.6134,10.0,64.0,15.8312,27.4216,24.526,34.97,30.3158,54.529,46.229,37.912,34.5216,42.061,34.175,68.6106,2.924,0.7428571428571429
973,2023_Maryland,B10,35,22,112.64,95.839,0.865831,50.8165,47.753,16.564,8.0,32.0,18.4148,30.0133,28.1162,34.388,28.4102,51.896,47.458,32.8234,32.378,36.9197,31.928,64.332,1.041,0.6285714285714286
974,2023_Northwestern,B10,34,22,109.776,93.418,0.864232,47.3316,48.479,14.711,7.0,32.0,21.333,28.6182,27.714,29.7231,31.6194,46.731,46.841,32.1278,33.8158,41.081,41.9318,64.5308,1.633,0.6470588235294118
975,2023_Virginia,ACC,33,25,110.068,94.024,0.859134,51.2138,48.375,13.65,4.0,64.0,19.591,25.6268,24.937,34.776,26.347,50.4173,46.433,35.0117,34.1186,35.6239,40.0278,61.336,4.118,0.7575757575757576
976,2023_Indiana,B10,35,23,113.136,96.947,0.855735,53.541,47.24,16.877,4.0,32.0,16.3291,28.1195,29.0206,29.5237,29.814,53.065,45.419,36.834,33.4132,26.6354,37.8197,67.9148,3.422,0.6571428571428571
977,2023_Penn_St_,B10,37,23,117.511,100.7105,0.854836,55.41,49.1103,13.77,10.0,32.0,13.1362,19.2359,25.66,21.3361,25.534,53.16,49.2129,38.76,32.797,47.11,37.6191,64.3322,1.337,0.6216216216216216
978,2023_Iowa,B10,33,19,119.94,103.9171,0.838541,51.7104,53.3307,14.08,8.0,64.0,18.2163,32.165,27.4126,32.3138,23.814,52.186,52.529,34.0173,36.6318,37.5176,32.337,69.656,0.3548,0.5757575757575758
979,2023_Boise_St_,MWC,34,24,110.166,95.636,0.836143,51.6112,47.547,16.668,10.0,64.0,17.521,27.2224,24.017,30.3215,27.676,50.6161,48.073,35.687,31.237,37.8163,37.4186,66.3223,2.13,0.7058823529411765
980,2023_USC,P12,33,22,111.848,97.453,0.829846,51.2138,45.411,18.1169,10.0,64.0,17.9176,28.8172,32.733,33.2112,30.2153,51.0139,42.72,34.5148,33.4132,33.0297,37.1176,68.0138,2.131,0.6666666666666666
981,2023_N_C__State,ACC,34,23,113.632,99.28,0.827248,51.5117,49.8131,13.54,11.0,64.0,18.8125,30.4118,26.278,25.334,34.0252,51.1132,50.9211,34.7137,31.651,37.119,33.552,69.272,0.0052,0.6764705882352942
982,2023_Illinois,B10,33,20,108.992,95.433,0.82165,51.4125,46.724,18.4208,9.0,64.0,18.5138,31.68,26.795,34.388,30.1149,55.117,45.115,30.8335,33.4132,41.964,30.516,69.847,0.943,0.6060606060606061
983,2023_Arizona_St_,P12,36,23,108.41,95.029,0.820751,48.4287,46.52,16.877,11.0,64.0,20.17,29.2157,31.5306,31.2185,33.524,48.5252,43.66,32.2273,34.1186,39.3121,39.0242,68.1132,1.238,0.6388888888888888
984,2023_Drake,MVC,35,27,108.893,95.637,0.815553,52.956,46.929,15.529,12.0,64.0,17.521,23.8318,22.44,28.4272,27.468,51.99,46.944,36.449,31.343,36.5211,38.2216,66.3222,-0.767,0.7714285714285715
985,2023_Providence,BE,33,21,114.922,101.2115,0.812855,51.1146,49.7128,16.877,11.0,64.0,16.9246,34.716,27.3118,36.351,25.429,50.815,49.2129,34.6145,33.8158,31.9313,33.66,66.8191,1.336,0.6363636363636364
986,2023_VCU,A10,35,27,105.515,93.417,0.802662,52.089,46.929,19.6274,12.0,64.0,23.97,28.9165,30.025,41.69,31.1181,51.99,46.433,34.813,31.964,32.7302,34.175,67.9144,1.042,0.7714285714285715
